商品ＣＤ,商品区分,商品名,商品予定名,売価単価,先生用商品ＣＤ,弁当区分,出力区分,パン箱入数,クラス分け名称1,クラス分けグラム出力区分1,クラス分け名称2,クラス分けグラム出力区分2,クラス分け名称3,クラス分けグラム出力区分3,クラス分け名称4,クラス分けグラム出力区分4,クラス分け名称5,クラス分けグラム出力区分5,修正担当者ＣＤ,修正日
493,0,値引き,値引き,0,0,0,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:40:15
494,1,ひなあられセット,ひなあられセット,0,495,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:40:19
495,1,ひなあられセット　先生,ひなあられセット　先生用,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:40:24
496,1,おかしセット　園児用,おかしセット　,0,497,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:40:39
497,1,おかしセット　先生用,おかしセット　先生用,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:40:45
500,1,学童　飯有り,学童　飯有り,88,0,0,1,24,,0,,0,,0,,0,,0,2,2025/09/08 14:41:07
501,1,学童　飯無し,学童　飯無し,88,0,0,1,24,,0,,0,,0,,0,,0,2,2025/09/08 14:41:14
502,0,予備,予備,0,503,0,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:41:21
504,1,節分豆　肥後黒糖豆１０ｇ,節分豆　肥後黒糖豆１０ｇ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:41:33
505,1,節分豆　ミツヤミックス１８ｇ,節分豆　ミツヤミックス１８ｇ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:41:37
506,0,お別れ会　園児,お別れ会,0,507,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 14:42:06
507,0,お別れ会　先生,お別れ会　先生,0,0,1,1,0,,0,,0,,0,,0,,0,2,2025/09/08 14:42:00
508,1,弁当　園児（満3歳児）,弁当園児（満3歳児）,88,0,0,1,24,,0,,0,,0,,0,,0,2,2025/09/08 14:45:33
509,0,補助教員,補助教員,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 15:00:25
522,1,そうめん,そうめん,0,0,0,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:46:26
523,1,とうもろこし,とうもろこし,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:46:31
534,1,配膳給食　園児,配膳スマ,0,535,0,2,0,ごはん,1,スープ,0,皿,0,主菜,0,副菜,0,2,2025/03/21 14:43:14
535,1,配膳給食　先生,配膳給食,0,0,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 14:46:49
536,1,製造加工費,製造加工費,0,0,0,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:46:57
537,1,配送費,配送費,0,0,0,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:47:01
538,1,事務管理費,事務管理費,0,0,0,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:47:06
539,1,メロンパン,メロンパン,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:47:11
540,1,ロールパン,ロールパン,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:47:15
543,1,　,　,0,0,1,2,0,くま皿,0,,0,,0,,0,,0,2,2025/09/08 14:47:34
544,1,クリスマス クッキー　園児,クリスマス　クッキー,0,545,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:47:39
545,1,クリスマス クッキー　先生,クリスマス　クッキー　先生,0,545,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:47:57
548,1,めん給食　園児,めん給食　,100,549,1,2,16,スープ,0,,0,,0,,0,,0,2,2025/09/08 14:48:51
549,1,めん給食　先生,めん給食　先生,100,549,1,2,16,スープ,0,,0,,0,,0,,0,2,2025/09/08 14:48:57
552,1,ミルクロールパン,ミルクロールパン,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:49:12
553,1,おにぎりとスープ,おにぎりとスープ,0,554,1,2,30,汁用保温箱　大,0,おわん,0,,0,,0,,0,2,2025/09/08 14:49:18
554,1,おにぎりとスープ,おにぎりとスープ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:49:23
555,1,どんぶり給食　園児,どんぶり給食,0,556,1,2,0,ごはん,1,具材,0,汁もの,0,どんぶり,0,おわん,0,2,2025/08/08 16:39:31
556,1,どんぶり給食　先生,どんぶり給食　先生,0,556,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 14:49:29
557,0,調整,調整,0,0,0,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:49:33
558,1,チーズドッグ,チーズドッグ,0,0,1,0,80,,0,,0,,0,,0,,0,2,2025/09/08 14:49:38
559,1,ワッフル,ワッフル,0,0,1,0,80,,0,,0,,0,,0,,0,2,2025/09/08 14:49:42
560,1,たい焼き（あんこ）,たい焼き（あんこ）,0,0,1,0,80,,0,,0,,0,,0,,0,2,2025/09/08 14:49:50
561,1,たい焼き（カスタード）,たい焼き（カスタード）,0,0,1,0,80,,0,,0,,0,,0,,0,2,2025/09/08 14:49:54
562,1,プリン,プリン,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:49:58
563,1,自園給食　園児,自園給食,0,564,0,0,0,,0,,0,,0,,0,,0,2,2024/03/19 13:51:56
564,1,自園給食　先生,自園給食　先生,0,0,0,0,0,,0,,0,,0,,0,,0,2,2025/08/08 17:21:48
570,1,節分豆　ヨコイ福豆5ｇ,節分豆　ヨコイ福豆5ｇ,0,0,3,2,0,給食用福豆5ｇ,0,,0,,0,,0,,0,2,2025/09/08 14:53:31
571,1,節分豆　きなこボーロ福豆5ｇ,節分豆　きなこぼーろ福豆5ｇ,0,0,3,2,0,給食用きなこボーロ,0,,0,,0,,0,,0,2,2025/09/08 14:53:38
572,1,節分豆　ｽｲｰﾄﾎﾟﾃﾄ＆ﾌｨｯｼｭ,節分豆　ｽｲｰﾄﾎﾟﾃﾄ＆ﾌｨｯｼｭ,0,0,3,2,0,ｽｲｰﾄﾎﾟﾃﾄ＆ﾌｨｯｼｭ,0,,0,,0,,0,,0,2,2025/09/08 14:53:44
573,1,ミツヤ節分豆10ｇ,ミツヤ節分豆10ｇ,0,0,3,2,0,三種の福豆,0,,0,,0,,0,,0,2,2025/09/08 14:53:48
574,1,節分豆　豆まき用炒り大豆,節分豆　豆まき用炒り大豆,0,0,3,2,0,炒り大豆,0,,0,,0,,0,,0,2,2025/09/08 14:53:53
575,1,配膳給食,配膳ぶろ,0,576,0,2,0,ごはん,1,スープ,0,皿,0,主菜,0,副菜,0,2,2025/03/21 14:45:55
576,1,どこ食,どこ食,0,0,1,2,0,ごはん,1,おかず,0,スープ,0,,0,,0,2,2025/04/01 9:36:24
602,0,ゼリー　先生,ゼリー　先生,0,0,3,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:54:08
603,1,おにぎりパック,おにぎりパック,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:54:15
604,1,もち米　先生,もち米　先生,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:54:20
605,1,給食振り替え分,給食振り替え分,0,606,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:54:25
606,1,給食振り替え分,給食振り替え分,0,0,1,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:54:30
607,1,給食（夕食）,給食（夕食）,0,608,0,2,0,ごはん,1,スープ,0,皿,0,主菜,0,副菜,0,2,2025/09/08 16:50:53
608,1,給食（夕食）,給食（夕食）,0,0,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 14:54:38
609,1,給食（朝食）,給食（朝食）,0,610,0,2,0,ごはん,1,スープ,0,皿,0,主菜,0,副菜,0,2,2025/09/08 16:51:07
610,1,給食（朝食）,給食（朝食）,0,0,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 14:54:45
611,1,セントラル,セントラル,0,612,0,0,0,,0,,0,,0,,0,,0,2,2025/09/08 16:51:20
612,1,セントラル,セントラル,0,0,1,2,0,,0,,0,,0,,0,,0,2,2025/09/08 14:54:55
613,1,コロッケ,コロッケ,0,0,1,0,42,,0,,0,,0,,0,,0,2,2025/09/08 14:55:00
614,1,アジフライ,アジフライ,0,0,1,1,80,,0,,0,,0,,0,,0,2,2025/09/08 16:51:28
615,0,包材,包材,0,0,0,0,0,,0,,0,,0,,0,,0,2,2025/09/08 14:55:10
